Cluster Name,Review ID,Issue
Durability Issues,0,Die geklebte Folie löst sich ab
Durability Issues,2,Es war nach wenigen Minuten kaputt
Durability Issues,4,am nächsten Tag schon gerissen
Durability Issues,8,nicht stabil
Durability Issues,8,ziemlich schnell hinüber
Durability Issues,10,nur eine leere Packung erhalten
Durability Issues,10,nichts drin außer das Handbuch und die Verpackung
Durability Issues,11,Die Folie auf dem Würfel ist nach zwei Monaten gerissen
Durability Issues,14,Folie löst sich nach einem Monat
Durability Issues,14,Folie komplett abgerissen nach mehreren Wochen
Durability Issues,14,Würfel unbrauchbar
Durability Issues,16,Folie geht auseinander
Durability Issues,16,Teile halten nur mit Folie zusammen
Durability Issues,21,Verbindung brach schnell nach
Durability Issues,21,nur noch äußerst vorsichtig genutzt werden kann
Durability Issues,23,Würfel verreist noch nicht mal einer Woche kaputt
Durability Issues,25,Folie geht nach 1 Tag ab
Durability Issues,28,Broken after not a day use
Price Issues,1,Dauerhaltbarkeit könnte deutlich besser sein
Price Issues,5,Angebotspreis von 20€ ist eine Frechheit
Price Issues,5,Preis ist eindeutig zu hoch
Price Issues,5,Für den hohen Preis habe ich deutlich mehr erwartet
Price Issues,6,"Preis von um die 25 Euro aufzurufen, ist fast schon unverschämt"
Price Issues,7,viel zu teuer
Price Issues,11,Dafür ist er zu teuer
Price Issues,12,viel zu teuer verkauft
Price Issues,13,zu teuer
Price Issues,14,Preis zu hoch für überzogenen Kunststoff
Price Issues,15,Preis von 25 € scheint mir etwas überteuert
Price Issues,16,Preis zu hoch
Price Issues,17,für den Preis ein wenig simpel
Price Issues,19,Ist das Geld nicht wert
Price Issues,20,Extrem überteuert
Price Issues,24,zu teuer
Price Issues,29,"Für diesen Würfel 25,00 EURO zu verlangen ist zu viel."
Size Issues,7,zu klein
Size Issues,9,Das Ding ist kleiner als es dargestellt wird.
Size Issues,17,kleiner als erwartet
Size Issues,18,Sehr klein
Quality Issues,3,nicht robust genug für eine 8-jährige
Quality Issues,6,"hergestellt aus einer Art Pappdeckel, der so filigran wirkt, als wenn gleich alles auseinander reisst"
Quality Issues,6,"Man muss beim ersten mal aufklappen schon aufpassen, dass man das Ding nicht gleich kaputt macht"
Quality Issues,8,nicht stabil
Quality Issues,19,einfachem Plastik
Quality Issues,21,bessere Qualität erwartet
Quality Issues,26,Ist ein bisschen ipsig
Usability Issues,13,nach 5 Minuten gelangweilt
Usability Issues,13,nichtmal aufbekommen
Usability Issues,13,mit Gewalt öffnen und kaputt machen
Usability Issues,13,nur aus Pappe
Usability Issues,20,Es gibt nur eine Lösung und ein paar triviale andere Figuren
Usability Issues,20,Nach 5 min hat man alles durch
Usability Issues,20,Kein vergleich mit Rubix
Usability Issues,20,Bin mega frustriert
Usability Issues,22,schwer ist nicht für 7 jährige
Usability Issues,27,sehe da keinen „Spielwert“
